pair;direction;rsi;signal_time;entry_time_str;exit_time_str;entry_price;exit_price;pnl_percent;hold_time;dynamic_sl;status;exit_reason;filter_info;filtered_out;;;;;
BTCUSDT;Short;59.56702727181086;20.08.2025 15:35;20.08.2025 15:35;0;114025.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;43.18665237533244;21.08.2025 5:15;21.08.2025 5:15;0;113803.7;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;42.62630246022087;21.08.2025 10:05;21.08.2025 10:05;0;113435.6;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;36.28438592263735;21.08.2025 17:30;21.08.2025 17:30;0;112336.3;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Short;65.50251151049946;22.08.2025 2:40;22.08.2025 2:40;0;113298.0;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.71907201236272;22.08.2025 11:00;22.08.2025 11:00;0;112609.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;29.591787257769127;22.08.2025 11:40;22.08.2025 11:40;22.08.2025 15:10;112244.2;116635.8;3,912540693;03.Тра;108876.874;Profit;Reverse Signal (Short);;0;;;;;
BTCUSDT;Short;75.21093669111534;22.08.2025 14:55;22.08.2025 14:55;0;115797.4;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=53.83;1;;;;;
BTCUSDT;Short;79.47230343498526;22.08.2025 15:20;22.08.2025 15:20;0;116802.8;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=53.83;1;;;;;
BTCUSDT;Short;69.16933020355953;22.08.2025 15:50;22.08.2025 15:50;0;116659.0;0;0;0;0;Filtered;Filtered;Secondary TF Filter: Recent bull cross at RSI_SMA=53.83;1;;;;;
BTCUSDT;Long;30.90323233767485;23.08.2025 2:40;23.08.2025 2:40;0;115852.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.98220325713123;23.08.2025 3:50;23.08.2025 3:50;0;115587.8;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;41.82663754673837;23.08.2025 12:10;23.08.2025 12:10;0;115408.4;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;40.339567473525804;23.08.2025 13:45;23.08.2025 13:45;0;115060.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.10280626056063;24.08.2025 3:45;24.08.2025 3:45;0;115009.2;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;34.972709413847184;24.08.2025 20:15;24.08.2025 20:15;0;112582.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;37.32772702774424;25.08.2025 4:45;25.08.2025 4:45;0;112795.9;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;36.07178495311653;25.08.2025 5:15;25.08.2025 5:15;0;112633.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
BTCUSDT;Long;35.13843607123465;25.08.2025 5:40;25.08.2025 5:40;0;112516.5;0;0;0;0;Filtered;Filtered;Weak Entry Signal;1;;;;;
